Temperature,Power,std
26,	39.962e-6,	0.053e-6
27,	31.670e-6,	0.218e-6
29,	57.129e-6,	0.577e-6
31,	85.563e-6,	0.933e-6
33,	372.979e-6,	12.296e-6
35,	789.770e-6,	25.581e-6
37,	1.343e-3,	0.092e-3
39,	7.946e-3,	0.030e-3
40,	15.474e-3,	0.05e-3
40.5,	18.915e-3,	0.013e-3
40.7,	19.188e-3,	0.014e-3
40.8,	18.893e-3,	0.027e-3
41,	18.365e-3,	0.151e-3
42,	13.144e-3,	0.017e-3
43,	4.136e-3,	0.176e-3
45,	872.569e-6,	8.63e-6
47,	666.979e-6,	10.599e-6
49,	31.907e-6,	1.527e-6
51,	359.713e-6,	3.611e-6
53,	33.675e-6,	2.958e-6
